Country,,Australia,Australia,Belgium,Belgium,Brazil,Brazil,Canada,Canada,Chile,Chile,Colombia,Colombia,Costa Rica,Costa Rica,Czech Republic,Czech Republic,Estonia,Estonia,France,France,Germany,Germany,Greece,Greece,Hungary,Hungary,Ireland,Ireland,Israel,Israel,Japan,Japan,Korea,Korea,Latvia,Latvia,Lithuania,Lithuania,Luxembourg,Luxembourg,Mexico,Mexico,Netherlands,Netherlands,New Zealand,New Zealand,Poland,Poland,Portugal,Portugal,Russian Federation,Russian Federation,Slovak Republic,Slovak Republic,Slovenia,Slovenia,Spain,Spain,Turkey,Turkey,United Kingdom,United Kingdom,United States,United States
Series,,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates,In 2015 constant prices at 2015 USD PPPs,In 2015 constant prices at 2015 USD exchange rates
Time,Pay period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,Annual,20879.332,24373.756,21810.281,20967.053,4145.6851,2545.7251,15732.952,16522.996,5710.6191,3659.967,6563.3398,3092.083,,,7345.2349,4195.8071,6204.4941,4124.624,19738.678,18839.068,,,14494.549,11231.688,6778.9722,3516.9929,18755.832,20899.465,11268.326,12688.46,14112.379,12768.818,11802.974,10822.279,5923.5762,3714.6919,5981.1152,3318.718,22534.82,24761.488,1777.161,1092.535,22433.141,22156.104,17630.885,19865.227,9158.3535,4533.3179,10559.993,7894.7061,3621.8999,1507.364,7380.063,4452.8921,13827.877,10030.428,12657.498,10473.31,8595.4482,4799.2778,17053.221,20726.668,16391.313,16391.313
2010-01-01,Hourly,10.5709,12.34,10.45718,10.053,1.8,1.08,7.56392,7.9439998,2.4000001,1.5599999,2.2,1.0599999,,,3.68027,2.102,2.9748001,1.978,10.84541,10.351,,,5.9566798,4.6160002,3.26421,1.693,9.01723,10.048,5.0486002,5.6849999,6.7848001,6.1389999,4.3521299,3.9909999,2.84007,1.781,3.0217099,1.677,10.85661,11.929,0.85439998,0.52499998,9.9588604,9.8360004,8.4780598,9.552,4.3909898,2.174,4.3397198,3.244,1.4884501,0.61900002,3.24981,1.961,6.6297698,4.809,5.2018299,4.3039999,4.12111,2.3010001,8.1948795,9.96,7.8804402,7.8800001
2011-01-01,Annual,21037.328,24558.195,21629.799,20793.547,4148.1328,2547.228,15778.273,16570.594,5804.7378,3720.2881,6600.4678,3109.575,,,7206.2412,4116.4102,5910.0601,3928.8911,19714.971,18816.441,,,14140.007,10956.958,6921.9839,3591.189,18284.299,20374.039,11264.469,12684.117,14436.312,13061.912,11925.931,10935.02,6364.6709,3991.304,5743.874,3187.0811,22619.83,24854.898,1789.17,1099.918,22075.713,21803.09,17282.182,19472.332,9246.1934,4576.7979,10402.312,7776.8232,3466.4299,1442.661,7316.3691,4414.4609,14240.07,10329.424,12424.575,10280.58,8853.4424,4943.3291,16701.367,20299.021,15889.705,15889.705
2011-01-01,Hourly,10.65163,12.434,10.37064,9.9700003,1.8,1.09,7.58571,7.967,2.5,1.59,2.3,1.0599999,,,3.61063,2.062,2.8336301,1.8839999,10.83741,10.343,,,5.81183,4.5040002,3.33305,1.729,8.7905302,9.7950001,5.0479202,5.684,6.9405298,6.2800002,4.39747,4.0320001,3.0515499,1.914,2.90185,1.61,10.8929,11.969,0.86018002,0.52899998,9.7999802,9.6789999,8.3103504,9.3640003,4.4331102,2.194,4.27492,3.1960001,1.42456,0.59299999,3.3490701,2.0209999,6.8274798,4.9520001,5.1059899,4.2249999,4.2448001,2.3699999,8.0331297,9.7639999,7.6392798,7.6389999
2012-01-01,Annual,21323.83,24892.646,21594.918,20760.014,4498.3789,2762.302,16074.195,16881.375,5969.625,3825.9651,6769.188,3189.061,,,6976.4521,3985.1479,5932.1382,3943.5681,19968.049,19057.984,,,11309.243,8763.4248,7811.6089,4052.7339,17979.943,20034.898,11538.254,12992.407,14606.66,13216.042,11442.349,10491.618,6199.5898,3887.781,5716.8062,3172.062,22583.826,24815.338,1791.968,1101.6379,21994.473,21722.854,17679.221,19919.688,9662.6768,4782.9541,10121.601,7566.9619,3384.9651,1408.756,7288.9409,4397.9121,14200.683,10300.854,12127.923,10035.119,9093.6318,5077.4399,16628.547,20210.514,15567.554,15567.554
2012-01-01,Hourly,10.79636,12.603,10.35381,9.9540005,1.9,1.1799999,7.7279801,8.1160002,2.5,1.63,2.3,1.09,,,3.4954901,1.997,2.8441701,1.891,10.97143,10.471,,,4.6532202,3.6059999,3.76091,1.951,8.6442003,9.632,5.1690502,5.8200002,7.0224299,6.3540001,4.5623398,4.1830001,2.97241,1.864,2.8903201,1.604,10.8803,11.955,0.86153001,0.52999997,9.7642403,9.6440001,8.5028,9.5799999,4.6327901,2.293,4.1595602,3.1099999,1.39108,0.579,3.4556799,2.085,6.8085499,4.9390001,4.9840798,4.1240001,4.3599601,2.434,7.99751,9.7200003,7.4843998,7.4840002
2013-01-01,Annual,21387.027,24966.422,21783.131,20940.949,4616.9268,2835.0991,16180.089,16992.586,6302.3159,4039.188,6902.312,3251.7781,,,7057.999,4031.73,6368.1611,4233.4268,20052.246,19138.346,,,11052.496,8564.4736,8091.3501,4197.8672,17890.01,19934.686,11772.174,13255.807,14807.031,13397.336,11985.897,10990.004,6093.915,3821.512,6892.4429,3824.3831,22840.506,25097.377,1799.777,1106.439,21723.5,21455.227,17889.35,20156.445,10205.613,5051.7041,10093.904,7546.2559,3579.2571,1489.6169,7418.9419,4476.3511,14331.078,10395.439,12030.048,9954.1328,9261.2588,5171.0342,16510.783,20067.385,15342.814,15342.814
2013-01-01,Hourly,10.82608,12.638,10.4441,10.04,2.0,1.21,7.7788901,8.1700001,2.7,1.72,2.4000001,1.11,,,3.51825,2.01,3.0532701,2.03,11.01769,10.516,,,4.54212,3.52,3.89568,2.0209999,8.6009703,9.5839996,5.2746601,5.9390001,7.1187601,6.441,4.7790699,4.382,2.9217401,1.832,2.95801,1.641,11.00099,12.088,0.86527997,0.53200001,9.6435804,9.5240002,8.6022196,9.6920004,4.8930998,2.4219999,4.14818,3.1010001,1.47093,0.61199999,3.4556799,2.085,6.8710599,4.9840002,4.9439602,4.0910001,4.44033,2.4790001,7.9376302,9.6470003,7.3763499,7.3759999
2014-01-01,Annual,21453.828,25044.402,21709.326,20869.998,4636.707,2847.2451,16284.476,17102.215,6459.085,4139.6621,7009.4048,3302.231,9967.0381,7047.1519,7283.0771,4160.3008,7072.6411,4701.751,20162.414,19243.492,,,11199.34,8678.2617,8399.4414,4357.707,17854.875,19895.537,11715.92,13192.464,14700.968,13301.371,12687.348,11633.172,6823.498,4279.0361,6946.9878,3854.6479,23401.492,25713.797,1797.679,1105.149,21820.785,21551.311,18237.277,20548.467,10710.136,5301.439,10226.408,7645.3159,3542.239,1474.2111,7738.9971,4669.4619,14394.414,10441.382,12049.553,9970.2734,9379.5137,5237.062,16630.965,20213.451,15097.89,15097.89
2014-01-01,Hourly,10.85724,12.674,10.40871,10.006,2.0,1.21,7.8290801,8.2220001,2.8,1.76,2.4000001,1.13,3.4000001,2.4100001,3.6129799,2.0639999,3.391,2.2539999,11.07828,10.573,,,4.6024699,3.566,4.04387,2.098,8.5840702,9.5649996,5.2494602,5.9109998,7.06777,6.395,5.0587502,4.638,3.2715399,2.052,3.1156001,1.729,11.27708,12.391,0.86426997,0.53100002,9.6868496,9.5670004,8.7275696,9.8339996,5.1350002,2.5420001,4.20263,3.142,1.4557101,0.60600001,3.4556799,2.085,6.9014101,5.006,4.9514298,4.0970001,4.4970298,2.5109999,7.99856,9.7220001,7.2586002,7.2589998
2015-01-01,Annual,21715.529,25349.9,21588.119,20753.479,4628.626,2842.282,16536.828,17367.238,6633.564,4251.4868,6983.5298,3290.041,10561.536,7467.4902,7856.8091,4488.0332,7807.5259,5190.2881,20324.137,19397.844,20948.197,19164.674,11397.206,8831.5869,8694.4355,4510.7529,17907.637,19954.328,12509.465,14086.018,14899.183,13480.715,13493.088,12371.964,7640.1621,4791.168,7195.6831,3992.6399,23290.914,25592.293,1834.193,1127.5959,21856.795,21586.875,18827.74,21213.76,11254.773,5571.0308,10488.292,7841.1021,3292.291,1370.187,8381.8604,5057.3442,14512.807,10527.261,12170.472,10070.326,10062.421,5618.3638,17125.453,20814.459,15080.0,15080.0
2015-01-01,Hourly,10.99195,12.832,10.3506,9.9499998,2.0,1.21,7.9503999,8.3500004,2.8,1.8099999,2.4000001,1.13,3.5999999,2.5599999,3.91417,2.2360001,3.74334,2.4879999,11.16708,10.658,10.30438,9.427,4.6837902,3.6289999,4.16781,2.1619999,8.6094398,9.5930004,5.6047001,6.3109999,7.1630702,6.4809999,5.3800201,4.9330001,3.66309,2.2969999,3.6354499,2.017,11.2238,12.333,0.88182998,0.542,9.7027102,9.5830002,9.0548897,10.202,5.3961201,2.671,4.3102598,3.2219999,1.353,0.56300002,3.4556799,2.085,6.9582,5.0469999,5.00178,4.1389999,4.82445,2.694,8.2333899,10.007,7.25,7.25
2016-01-01,Annual,21967.23,25643.729,21170.248,20351.762,4753.5991,2919.0239,16792.385,17635.629,6998.2891,4485.2412,6950.1768,3274.3269,10859.747,7678.3379,8399.0879,4797.7979,8594.9775,5713.771,20413.598,19483.227,20847.443,19072.496,11492.088,8905.1104,9155.1201,4749.7612,18942.762,21107.758,13059.677,14705.573,15292.12,13836.242,14440.917,13241.039,7829.6172,4909.9761,8319.624,4616.2769,22836.064,25092.498,1895.653,1165.38,22209.799,21935.52,19346.395,21798.143,11977.516,5928.7832,10941.056,8179.5908,3199.1631,1331.429,8979.9912,5418.2378,14520.798,10533.057,12317.413,10191.91,12074.759,6741.9551,17568.326,21352.73,14892.122,14892.122
2016-01-01,Hourly,11.12024,12.981,10.15025,9.7580004,2.0,1.24,8.0732603,8.4790001,3.0,1.91,2.4000001,1.12,3.7,2.6300001,4.1500502,2.3710001,4.1209002,2.7390001,11.21624,10.705,10.25482,9.382,4.7227802,3.6600001,4.3919802,2.279,9.1070995,10.148,5.8510098,6.5879998,7.3519802,6.652,5.7579398,5.2800002,3.7539301,2.3540001,3.9240899,2.177,11.00003,12.087,0.91136998,0.56,9.8594904,9.7379999,9.3042297,10.483,5.74264,2.8429999,4.4963198,3.3610001,1.31472,0.54699999,3.4556799,2.085,6.9620299,5.0500002,5.0620198,4.1890001,5.7892699,3.2320001,8.4431896,10.262,7.1596699,7.1599998
